Year,Brent ave closing USD,Coffe Export (In 1K 60-kg bags) crop year,Coffe Imports (In 1K 60-kg bags) Calendar Year 137c,Coffe Produciton (In 1K 60-kg bags) crop year,Domestic Consumption (In 1K 60-kg bags),ICO composite (USD $/lb),Inventories (In 1K 60-kg bags),re-exports (In 1K 60-kg bags) Calendar Year 35c,WTI ave closing price USD,retail
1990,23.76,73887,100082,93230,19509,0.72,15619,8769,24.53,4.53
1991,20.04,79768,97310,101269,20228,0.67,13200,9770,21.54,4.48
1992,19.32,76957,103653,98523,20951,0.53,16843,10691,20.58,4.53
1993,17.01,74130,101530,91762,21098,0.62,14218,11041,18.43,4.03
1994,15.86,65962,100811,93314,21360,1.34,12667,12833,17.2,4.59
1995,17.02,74253,95216,87318,22603,1.38,7905,11539,18.43,6.03
1996,20.64,81884,103284,103306,23513,1.02,6494,12485,22.12,5.68
1997,19.11,77962,108001,99861,24271,1.34,6896,14136,20.61,5.35
1998,12.76,82872,109718,108892,25117,1.09,6601,15135,14.42,5.31
1999,17.9,92405,116301,131385,25741,0.86,8601,15331,19.35,4.83
2000,28.66,87970,119015,113764,27068,0.64,12187,16796,30.38,4.19
2001,24.46,85759,122409,107901,28309,0.46,12678,18588,25.98,3.76
2002,24.99,90260,126768,122615,28752,0.48,14105,19602,26.19,3.73
2003,28.85,87986,128342,105508,29833,0.52,13708,21284,31.08,4.24
2004,38.26,89841,136139,116067,31413,0.62,13259,21693,41.51,4.56
2005,54.57,88137,136745,111169,33143,0.89,12387,24028,56.64,4.73
2006,65.16,98495,142862,135392,34974,0.96,13237,26123,66.05,4.89
2007,72.44,94173,149223,121842,36911,1.08,13696,28747,72.34,5.45
2008,96.94,95466,154346,134801,38403,1.24,13157,32106,99.67,6.09
2009,61.74,94627,151695,127975,39800,1.16,12107,31873,61.95,5.72
2010,79.61,102962,161059,142015,41858,1.47,11274,34048,79.48,5.77
2011,111.26,106378,165720,142475,43340,2.1,11821,35461,94.88,6.99
2012,111.57,107611,170548,151285,44754,1.56,12542,36221,94.05,6.91
2013,108.56,113519,176426,154094,45509,1.2,13791,36282,97.98,6.81
2014,98.97,113235,105413,149750,46666,1.55,14639,39037,93.17,6.82
2015,53.03,120520,108423,153988,47548,1.25,15639,40258,48.66,6.02
2016,45.13,119502,112977,159915,48488,1.27,16745,42437,43.29,5.83
2017,54.71,119836,118532,158076,49793,1.27,16542,43110,50.8,6.14
2018,71.34,125174,121000,170935,50510,1.09,15503,44808,65.23,6.38
